SimulationTime,CW
0.01,20
0.01,45
0.01,25
0.01,16
0.01,16
0.02,242
0.02,18
0.02,16
0.02,16
0.02,502
0.03,16
0.03,16
0.03,16
0.03,425
0.03,1024
0.04,16
0.04,123
0.04,16
0.04,28
0.04,81
0.05,16
0.05,16
0.05,42
0.05,16
0.05,279
0.06,1024
0.06,16
0.06,62
0.06,282
0.06,42
0.07,41
0.07,16
0.07,16
0.07,16
0.07,16
0.08,49
0.08,82
0.08,16
0.08,16
0.08,22
0.09,74
0.09,16
0.09,50
0.09,16
0.09,213
0.1,16
0.1,53
0.1,29
0.1,307
0.1,16
0.11,22
0.11,142
0.11,16
0.11,41
0.11,1024
0.12,16
0.12,107
0.12,16
0.12,16
0.12,16
0.13,124
0.13,109
0.13,115
0.13,18
0.13,16
0.14,1024
0.14,16
0.14,16
0.14,16
0.14,16
0.15,210
0.15,16
0.15,623
0.15,16
0.15,1024
0.16,297
0.16,16
0.16,19
0.16,16
0.16,16
0.17,16
0.17,16
0.17,16
0.17,16
0.17,16
0.18,341
0.18,16
0.18,16
0.18,1024
0.18,16
0.19,59
0.19,16
0.19,545
0.19,16
0.19,604
0.2,16
0.2,79
0.2,1024
0.2,16
0.2,23
0.21,16
0.21,16
0.21,384
0.21,31
0.21,313
0.22,75
0.22,22
0.22,16
0.22,16
0.22,29
0.23,73
0.23,23
0.23,1024
0.23,80
0.23,16
0.24,1024
0.24,16
0.24,16
0.24,16
0.24,16
0.25,16
0.25,26
0.25,16
0.25,16
0.25,16
0.26,16
0.26,16
0.26,78
0.26,16
0.26,1024
0.27,98
0.27,16
0.27,16
0.27,1024
0.27,16
0.28,36
0.28,62
0.28,69
0.28,16
0.28,83
0.29,1024
0.29,16
0.29,16
0.29,16
0.29,16
0.3,16
0.3,16
0.3,23
0.3,16
0.3,52
0.31,16
0.31,16
0.31,163
0.31,230
0.31,1024
0.32,166
0.32,44
0.32,16
0.32,16
0.32,16
0.33,16
0.33,88
0.33,16
0.33,646
0.33,476
0.34,16
0.34,645
0.34,159
0.34,23
0.34,16
0.35,180
0.35,16
0.35,582
0.35,38
0.35,106
0.36,16
0.36,1024
0.36,16
0.36,16
0.36,75
0.37,37
0.37,16
0.37,59
0.37,16
0.37,16
0.38,133
0.38,78
0.38,60
0.38,30
0.38,159
0.39,43
0.39,18
0.39,16
0.39,1024
0.39,31
0.4,16
0.4,35
0.4,16
0.4,63
0.4,253
0.41,16
0.41,16
0.41,16
0.41,1024
0.41,292
0.42,1024
0.42,21
0.42,16
0.42,1024
0.42,16
0.43,16
0.43,16
0.43,597
0.43,96
0.43,16
0.44,20
0.44,29
0.44,16
0.44,16
0.44,16
0.45,851
0.45,1024
0.45,16
0.45,16
0.45,16
0.46,92
0.46,18
0.46,16
0.46,24
0.46,1024
0.47,16
0.47,704
0.47,16
0.47,26
0.47,16
0.48,56
0.48,16
0.48,111
0.48,16
0.48,16
0.49,16
0.49,17
0.49,16
0.49,49
0.49,16
0.5,16
0.5,246
0.5,144
0.5,449
0.5,16
0.51,16
0.51,16
0.51,93
0.51,179
0.51,16
0.52,16
0.52,87
0.52,1024
0.52,1024
0.52,64
0.53,16
0.53,16
0.53,16
0.53,26
0.53,97
0.54,16
0.54,29
0.54,471
0.54,16
0.54,16
0.55,1024
0.55,16
0.55,665
0.55,16
0.55,16
0.56,24
0.56,76
0.56,16
0.56,90
0.56,289
0.57,361
0.57,1024
0.57,16
0.57,55
0.57,1024
0.58,16
0.58,16
0.58,16
0.58,1024
0.58,23
0.59,47
0.59,16
0.59,16
0.59,16
0.59,46
0.6,16
0.6,16
0.6,16
0.6,16
0.6,1024
0.61,39
0.61,16
0.61,379
0.61,236
0.61,691
0.62,16
0.62,16
0.62,43
0.62,16
0.62,16
0.63,16
0.63,16
0.63,102
0.63,203
0.63,16
0.64,16
0.64,16
0.64,31
0.64,16
0.64,25
0.65,100
0.65,16
0.65,16
0.65,27
0.65,758
0.66,16
0.66,115
0.66,1024
0.66,16
0.66,16
0.67,196
0.67,16
0.67,17
0.67,16
0.67,770
0.68,16
0.68,16
0.68,446
0.68,21
0.68,16
0.69,202
0.69,16
0.69,21
0.69,16
0.69,16
0.7,368
0.7,16
0.7,32
0.7,53
0.7,16
0.71,226
0.71,16
0.71,16
0.71,16
0.71,16
0.72,23
0.72,389
0.72,16
0.72,17
