algorithm,type,count,speed
ddpg,convergence,6,39.14
ddpg,convergence,6,39.22
ddpg,convergence,6,39.28
ddpg,convergence,6,39.25
ddpg,convergence,6,38.79
ddpg,convergence,6,39.14
ddpg,convergence,15,38.94
ddpg,convergence,15,38.94
ddpg,convergence,15,38.25
ddpg,convergence,15,38.25
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ddpg,basic,5,38.39
ddpg,basic,5,38.39
ddpg,basic,5,39.51
ddpg,basic,5,38.39
ddpg,basic,15,37.83
ddpg,basic,15,38.94
ddpg,basic,15,37.76
ddpg,basic,15,37.76
ddpg,basic,15,37.76
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
dqn,convergence,6,39.14
dqn,convergence,6,39.10
dqn,convergence,15,38.27
dqn,convergence,15,38.52
dqn,convergence,15,38.27
,,,
,,,
,,,
,,,
,,,
,,,
dqn,basic,5,38.58
dqn,basic,5,38.77
dqn,basic,5,38.89
dqn,basic,15,37.68
dqn,basic,15,37.75
dqn,basic,15,37.30
